,Company Type,Why Specifically Is It On the List?,Which Products?,Customer Service Phone #,Corporate HQ Phone #,Email / Email Contact Form,PR Contact Info & More (Info Gathered From Publicly Available Sources),Recommended Action to be Considered for Removal from Boycott List,"# of Items Stocked (Last inventory Check: January 30, 2017)"
Elder Beerman,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing,1-800-945-4438,(717) 751-0714,http://www.elder-beerman.com/sc1/customer-service-contact-us,Christine.Hojnacki@bonton.com,Stop selling Trump brand goods,178
Filene's Basement,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, limited clothing",877-435-4132,617-348-7000,https://www.filenesbasement.com/contact,https://www.filenesbasement.com/contact,Stop selling Trump brand goods,3.5 pages worth of shoes
Gilt,Retailer that Sells Trump Family Products,Carries Trump Home products,home furnishings,1 (877) 280-0545,877-445-8692,support@gilt.com,press@gilt.com,Stop selling Trump brand goods,8
Heels.com,Retailer that Sells Trump Family Products,Carries Trump Home products,shoes,866-33-HEELS,1 704-206-1006,https://www.heels.com/contactus,https://www.heels.com/info/media-inquiries,Stop selling Trump brand goods,37
Hobby Lobby,Company CEO endorsed Trump,Supportive of Trump,hobby gear / accessories,1 (800) 888-0321,(405) 745-1100,http://www.hobbylobby.com/about-us/contact-us,https://newsroom.hobbylobby.com/executive-team/#,Remove senior executive leaders financially and/or ideologically supportive of Trump,
The Honest Company,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1 (888) 862-8818,310-917-9199,https://www.honest.com/about-us/feedback OR support@honest.com,media@honest.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump producer,
Hudson Bay,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing & accessories,1 (800) 521-2364,1 (800) 521-2364,https://www.thebay.com/webapp/wcs/stores/servlet/en/thebay/content-view/ContactUsEmail,"tiffany.bourre@hbc.com, michelle.veilleux@hbc.com",Stop selling Trump brand goods,387
HSN,Retailer that Sells Trump Family Products,Carries Trump Home products,home furnishings,1 (800) 284-3900,(727) 872-1000,https://www.hsn.com/cs/email_us/default.aspx,727-872-7790 (media relations line) // 800-284-3900 (public relations line),Stop selling Trump brand goods,7
Jet,Retailer that Sells Trump Family Products,Carries Donald & Ivanka Trump products,shoes & fragrance,1 (855) 538-4323,1 (844) 538-2255,help@jet.com,"Lindsay.Pattison@maxusglobal.com, Richard.Stokes@maxusglobal.com",Stop selling Trump brand goods,8
King's Hawaiian,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,877-695-4227,310-533-3250,http://www.kingshawaiian.com/contact-us/message/,PublicRelations@KingsHawaiian.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump producer,
Kmart,Retailer that Sells Trump Family Products,Carries Trump Home products,home furnishings,1 (866) 240-1454,248-463-1000,None available,Hallie.Herrmann@zenogroup.com,Stop selling Trump brand goods,29
Kushner Properties,Owner Jared Kushner led Trump's campaign,Top Trump campaign advisor,real estate developer,1-212.527.7000,212.527.7000,http://www.kushnercompanies.com/contact/,james@risaheller.com,N/A,
L.A. Clippers,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,213-742-7500,213-742-7500,"jsafety@clippers.com (Joe Safety, VP of Communications), rraichlen@clippers.com (Rob Raichlen, Director of Communications), sburton@clippers.com (Seth Burton, Assistant Director of Communications), tcooper@clippers.com (Ta’Nisha Cooper, Assistant Director of Media Services)","jsafety@clippers.com (Joe Safety, VP of Communications), rraichlen@clippers.com (Rob Raichlen, Director of Communications), sburton@clippers.com (Seth Burton, Assistant Director of Communications), tcooper@clippers.com (Ta’Nisha Cooper, Assistant Director of Media Services)",Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump producer,
LendingTree,CEO raised funds for Trump SuperPAC,Supportive of Trump (funds),financial products / loans,1 (800) 555-8733,704) 541-535,https://www.lendingtree.com/about/contact-us,megan.greuling@lendingtree.com,Remove senior executive leaders financially and/or ideologically supportive of Trump,
Lorissa's Kitchen,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,715-466-6662,715-466-6662,http://lorissaskitchen.com/contact-us/,LorissasKitchen@SpongPR.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump producer,
Marshalls,Retailer that Sells Trump Family Products,Ivanka,"clothing, shoes",1 (888) 627-7425,1 (508) 390-1000,https://www.marshallsonline.com/contact-us,"Dyana.Buttacavoli@Edelman.com, brooke.hardington@edelman.com",Stop selling Trump brand goods,Brick and mortar check
MillerCoors,CEO raised funds for Trump and/or for Trump PAC,Supportive of Trump (funds),beer manufacturer (Miller & Coors),1 (312) 496-2700,1 (312) 496-2700,http://www.millercoors.com/contact-us,"(866) 672-2682 ""media helpline""",Remove senior executive leaders financially and/or ideologically supportive of Trump,
NASCAR,CEO Endorsed Trump,Supportive of Trump (endorsed),motorsports organization,1 (800) 630-0535,386) 253-0611,fanfeedback@nascar.com,"rposton@nascar.com, agiangola@nascar.com, jhamilton@nascar.com, tbreaux@nascar.com More NASCAR PR contacts here: http://www.sportsjournalists.com/forum/threads/media-relations-contacts-thread.65856/",Remove senior executive leaders financially and/or ideologically supportive of Trump,
New Balance,CEO raised funds for Trump and/or Trump PAC,Supportive of Trump (praised policy),athletic shoe manufacturer,1 (800) 595-9138,617) 783-4000,http://www.newbalance.com/,"media.relations@newbalance.com, mary.lawton@newbalance.com, amy.dow@newbalance.com, carrie.garfield@newbalance.com, caitlin.wholey@newbalance.com, Kate.Tetirick@newbalance.com",Remove senior executive leaders financially and/or ideologically supportive of Trump,
Nordstrom Rack,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing",1 (888) 282-6060,1 (206) 628-2111,customercare@nordstromrack.com,nordstromPR@Nordstrom.com,Stop selling Trump brand goods,6400.00%
Overstock.com,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing",1 (800) 843-2446,1 (801) 947-3100,https://help.overstock.com/app/ask,pr@overstock.com,Stop selling Trump brand goods,63
Perfumania,Retailer that Sells Trump Family Products,Carries Trump products,perfume,1 (866) 557-2368,1 (800) 228-3489,http://perfumaniaholdings.com/contact,perf@jcir.com,Stop selling Trump brand goods,12
QVC,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1 (888) 345-5788,610-701-1000,https://www.qvc.com/CustomerServiceEmailView?storeId=10251&catalogId=10151&langId=-1,MediaRelations@QVC.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump producer,
Ross,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing,1-800-289-7677,(925) 965-4400,https://www.rossstores.com/contact-us,investor.relations1@ros.com,Stop selling Trump brand goods,Brick and mortar check
Saks Off Fifth,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"clothing, jewelry, handbags",1 (877) 551-7257,1 (212) 320-4700,https://www.saksoff5th.com/contactus,"katie_majeski@s5a.com, tiffany.bourre@hbc.com",Stop selling Trump brand goods,104
Scion Hotels,"Trump-Owned, Branded, or Operated Business",Trump-owned hotel chain,hotels / condos,Not yet available,Not yet available,Not yet available,Not yet available,N/A,
ShopStyle.com & ShopStyleUK,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"clothing, jewelry, handbags",415-677-4031 (corporate phone of parent company Popsugar),415-677-4031 (corporate phone of parent company Popsugar),http://www.shopstyle.com/feedback,pr@popsugar.com (Popsugar is ShopStyle's parent company.),Stop selling/promoting Trump brand goods,1633 US / 309 UK
See's Candies,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1 (800) 347-7337,310-604-6200,https://www.sees.com/contact-us or SeesCandiesCustomerCare@sees.com,hannah.gray@emanatepr.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump involved,
Sears,Retailer that Sells Trump Family Products,Carries Trump Home & Ivanka,"home furnishings, clothing, shoes",1 (800) 349-4358,(847) 286-8371,https://searshc.co1.qualtrics.com/jfe/form/SV_9vor9cICqodYWUt?shc_jSessionId=1a782740-66fb-4f03-8cf3-bd4d0987a250&shc_userId=136966186623840174_42470_60103&shc_envir=i2-prod-ch3-vX-&shc_time1=1479782194417&shc_time2=1479782201926&shc_prev=https%3A%2F%2Fwww.google.com%2F&shc_channel=Search+Results&shc_prop1=Search+Results&shc_prop2=Search+Results&shc_prop27=Search+Results&shc_prop28=Search+Results&shc_referer=http%3A%2F%2Fwww.sears.com%2Fsearch%3Dfeedback%2520survey%2520customer,(847) 286-8371 or https://searsholdings.com/media/inquiries,Stop selling Trump brand goods,31
Stein Mart,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"perfume, handbags",1 (888) 783-4662,1 (904) 346-1500,http://ir.steinmart.com/contactus.cfm,ltasseff@steinmart.com,Stop selling Trump brand goods,2
The New Celebrity Apprentice,Donald is executive producer of this NBC show,Supportive of Trump Brand,media / television show,(212) 664-4444,(212) 664-4444,http://www.nbc.com/contact-us,"lesley.cerwin@nbcuni.com (SVP publicity in charge of Celebrity Apprentice), rebecca.marks@nbcuni.com (Executive VP) Jill.Carmen@nbcuni.com (Director publicity in charge of Celebrity Apprentice)",Remove Trump as executive producer,"Billy Bush was fired by NBC for the same hot mic sequence in which Donald participated. Donald will receive per-episode payment for the show, estimated to be in the low five figures, per Variety."
Trident,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1-800-524-2854,973-909-2000,https://contactus.mdlzapps.com/form?siteId=Zv0BAiPw9HLxCuKyFDGRiyYZfufseHmj,news@mdlz.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump involved,
Trump Golf Courses,"Trump-Owned, Branded, or Operated Business",Owned by Trump Family,golf courses,1 (212) 832-2000,1 (212) 832-2000,https://www.trumpgolf.com/Default.aspx?p=dynamicmodule&pageid=18&ssid=100037,pressoffice@donaldtrump.com,N/A,
Trump Hotels,"Trump-Owned, Branded, or Operated Business",Owned by Trump Family,hotels / condos,1 (855).878.6700,1 (855).878.6700,https://www.trumphotels.com/contact-us,pressoffice@donaldtrump.com,N/A,
Trump Winery,"Trump-Owned, Branded, or Operated Business",Owned by Trump Family,wine,1 (434) 977-3895,1 (434) 977-3895,http://www.trumpwinery.com/contact/,pressoffice@donaldtrump.com,N/A,
Tyra Beauty,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,800-867-8972,(310) 277-4657,helpme@tyra.com,helpme@tyra.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump involved,
Uber,CEO supportive of Trump,CEO supportive of Trump,app,(800) 353-UBER (note: no way to leave feedback),415-986-2104,https://help.uber.com/h/81409131-19fd-4714-99d7-51c8ea97647c,press@uber.com,"If CEO Travis Kalanick resigns from Trump's Econ. & Policy Forum, will consider removing",
Uline,CEO raised funds for Trump and/or for Trump PAC,Supportive of Trump,supply company,1-800-295-5510,1-800-295-5510,https://www.uline.com/CustomerService/ContactUS_window.aspx?Location=customerservice,customer.service@uline.com,Remove senior exec leaders financially and/or ideologically supportive of Trump,
Ultimate Fighting Championship,President endsorsed Trump,Supportive of Trump,mixed martial arts organization,unkown,(702) 221-4795,http://www.ufc.com/contactUs/contactForm,http://www.ufc.com/contactUs/contactForm,Remove senior exec leaders financially and/or ideologically supportive of Trump,
Universal Studios Hollywood,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,800-864-8377,818-777-1000,http://www.universalstudioshollywood.com/contact-us/,"audrey.eig@nbcuni.com (Audrey Eig, Vice President, Publicity)",Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump involved,
Walmart,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,"shoes, clothing, fragrance",1 (800) 925-6278,1-479-273-6463 (investor relations),https://corporate.walmart.com/contact-us/store-corporate-feedback,http://corporate.walmart.com/contact-us/contact-media-relations,Stop selling Trump brand goods,411
Welch's,Celebrity Apprentice advertiser,Supportive of Trump Brand,advertising,1-800-340-6870,978-371-1000,http://www.welchs.com/about-us/contact-us,media@welchs.com,Refrain from add'l sponsoring of Celebrity Apprentice while Donald Trump involved,
Winners,Retailer that Sells Trump Family Products,Carries Ivanka Trump products,clothing,1 (514) 788 4949,1-905-405-8000,https://www.winners.ca/en/contact,"elyse_goody@tjxcanada.ca, susie_nick@tjxcanada.ca, erin_obrien@tjxcanada.ca",Stop selling Trump brand goods,Brick and mortar check
Yuengling Beer,Founder endorsed Trump,Supportive of Trump (endorsed),beer manufacturer (Miller & Coors),1 (570) 622-0153,1 (570) 622-0153,https://www.yuengling.com/contact/,marketing@yuengling.com,Remove senior exec leaders financially and/or ideologically supportive of Trump,
